"Geographic.Area.Code","Geographic.Area.Name","Geographic.Area.Level","Parent.Geographic.Area.Code","Parent.Geographic.Area.Name","Geographic.Area.Type","X","Y","ISO.Code","Units.Code","Units.Desc","Time.Series.Id","Time.Series.Keys","Number.of.Years.Available","Earliest.Year.Available","Latest.Year.Available","Available.Years","Value.2000","Value.2005","Value.2010","Value.2015","Value.2019","ObjectId","x2","y2"
450,"Madagascar",4,14,"Eastern Africa","Country",46.6982339,-19.38514785,"MDG","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",2.0506,1.44379,1.82159,1.89131,1.97842,1,5198423.61869319,-2200333.73473891
148,"Chad",4,17,"Middle Africa","Country",18.66618401,15.36279341,"TCD","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",4.05011,4.42926,4.29801,1.56932,1.25587,2,2077910.09904675,1731046.56922379
450,"Madagascar",4,14,"Eastern Africa","Country",46.6982339,-19.38514785,"MDG","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.79877,0.56301,0.70625,0.73236,0.76504,3,5198423.61869319,-2200333.73473891
148,"Chad",4,17,"Middle Africa","Country",18.66618401,15.36279341,"TCD","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",1.4404,1.58367,1.53882,0.57088,0.45733,4,2077910.09904675,1731046.56922379
450,"Madagascar",4,14,"Eastern Africa","Country",46.6982339,-19.38514785,"MDG","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",3.32435,2.34093,2.95978,3.07484,3.21717,5,5198423.61869319,-2200333.73473891
148,"Chad",4,17,"Middle Africa","Country",18.66618401,15.36279341,"TCD","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",6.73203,7.33933,7.10605,2.58223,2.06556,6,2077910.09904675,1731046.56922379
4,"Afghanistan",5,127,"Southern Asia (excluding India)","Country",66.02688198,33.83160199,"AFG","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.03544,0.03968,0.02453,0.00848,0.01272,7,7350078.88068117,4006212.63896632
454,"Malawi",4,14,"Eastern Africa","Country",33.4884625,-13.40819859,"MWI","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",2.61035,3.14171,3.56681,4.04504,4.07825,8,3727918.59294964,-1506406.79245293
454,"Malawi",4,14,"Eastern Africa","Country",33.4884625,-13.40819859,"MWI","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.98221,1.19044,1.36241,1.54451,1.55513,9,3727918.59294964,-1506406.79245293
454,"Malawi",4,14,"Eastern Africa","Country",33.4884625,-13.40819859,"MWI","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",4.32052,5.21417,5.91864,6.70839,6.76142,10,3727918.59294964,-1506406.79245293
458,"Malaysia",4,35,"South-Eastern Asia","Country",116.8346314,5.452415309,"MYS","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",1.43734,1.36403,1.35104,0.83701,0.92849,11,13005971.6744678,607878.272331427
458,"Malaysia",4,35,"South-Eastern Asia","Country",116.8346314,5.452415309,"MYS","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.53308,0.50504,0.49567,0.31248,0.34871,12,13005971.6744678,607878.272331427
458,"Malaysia",4,35,"South-Eastern Asia","Country",116.8346314,5.452415309,"MYS","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",2.31161,2.1821,2.15287,1.33127,1.47659,13,13005971.6744678,607878.272331427
